1.515213,1.813640,1.214264,1.380657,1.318058,1.468890,1.283034,1.293102,1.679085,1.218553,1.203187,1.360871,1.570673,1.862491,1.293114,1.297083,1.752573,1.206583,1.865335,1.696719,1.523820,1.028303,1.158328,1.607253,1.975242,1.079454,1.594809,1.059121,1.692025,1.301523,1.173266,1.541100,1.544156,1.278508
1.423152,1.530586,1.253541,1.282081,1.788605,1.361805,1.880543,1.297112,1.894362,1.097455,1.976917,1.074291,1.222289,1.681078,1.241515,1.311522,1.932846,1.741849,1.801055,1.730231,1.182925,1.428357,1.896992,1.682653,1.978929,1.922212,1.090837,1.493142,1.926987,1.954945,1.347954,1.690839,1.710907,1.563780
1.649489,1.551765,1.755824,1.403803,1.130651,1.985965,1.896342,1.322084,1.721148,1.644540,1.085521,1.669575,1.622728,1.369693,1.236823,1.535282,1.187246,1.238841,1.628098,1.126753,1.281330,1.410323,1.434912,1.625095,1.550147,1.623609,1.729181,1.830534,1.000514,1.736069,1.399984,1.497868,1.603978,1.409618
1.029671,1.001904,1.002843,1.915821,1.589834,1.559392,1.815405,1.878012,1.458442,1.600166,1.026265,1.845833,1.249693,1.641784,1.247467,1.173656,1.592624,1.814395,1.693838,1.030323,1.539210,1.975675,1.750763,1.294006,1.753161,1.150964,1.355767,1.831931,1.231830,1.627835,1.498394,1.089836,1.025194,1.392216
1.589383,1.929612,1.572087,1.588576,1.411763,1.552580,1.491607,1.957954,1.797209,1.107381,1.783035,1.393251,1.130414,1.190033,1.739826,1.654041,1.098384,1.520380,1.099730,1.151843,1.076190,1.315208,1.159651,1.137804,1.322611,1.539075,1.570852,1.512782,1.684175,1.653040,1.524500,1.654270,1.716368,1.636644
1.012826,1.030682,1.098031,1.369112,1.826454,1.347682,1.344315,1.253000,1.216471,1.555002,1.402071,1.506497,1.168680,1.331368,1.827928,1.700288,1.057926,1.999159,1.411540,1.111675,1.780754,1.092118,1.053495,1.714696,1.250762,1.848633,1.973882,1.212561,1.021534,1.945195,1.092970,1.645833,1.311886,1.448464
1.487239,1.082480,1.671829,1.400188,1.900275,1.949883,1.319331,1.499385,1.400432,1.019809,1.645039,1.428688,1.339597,1.887448,1.236327,1.765008,1.035755,1.727577,1.625837,1.513088,1.072448,1.724229,1.879845,1.977763,1.847500,1.832198,1.247845,1.913399,1.075037,1.835104,1.629332,1.751741,1.632003,1.096934
1.014827,1.583835,1.068756,1.998274,1.649188,1.985466,1.834806,1.332056,1.661393,1.956021,1.310510,1.184391,1.967094,1.833242,1.309548,1.805872,1.417326,1.718530,1.406737,1.895803,1.958176,1.018713,1.791672,1.423553,1.015181,1.432698,1.904776,1.855704,1.042922,1.659031,1.347859,1.503487,1.839947,1.023110
1.124364,1.261176,1.834948,1.314805,1.007681,1.899750,1.370268,1.100199,1.643204,1.769889,1.791125,1.262382,1.346864,1.214654,1.822093,1.351134,1.599194,1.578351,1.413581,1.119851,1.911614,1.053786,1.228918,1.324174,1.350765,1.349289,1.303802,1.968746,1.671527,1.207943,1.963139,1.302202,1.807941,1.134084
1.947760,1.640865,1.953259,1.809874,1.181591,1.942757,1.831241,1.494680,1.855310,1.710744,1.273495,1.407633,1.909761,1.944397,1.498632,1.288638,1.975895,1.452584,1.044991,1.315362,1.951906,1.751563,1.535791,1.669715,1.865175,1.458884,1.578551,1.481530,1.550616,1.950623,1.509865,1.742515,1.490794,1.066151
